case,group,chain,rc,state,proved,total,failed,failed_detail
a1_width4_bit0,pattern_a,c1_local,0,PASS,2,2,0,
a1_width4_bit0,pattern_a,c2_stage,0,PASS,2,2,0,
a2_width4_bit1,pattern_a,c1_local,0,PASS,2,2,0,
a2_width4_bit1,pattern_a,c2_stage,0,PASS,2,2,0,
a3_width8_bit2,pattern_a,c1_local,0,PASS,2,2,0,
a3_width8_bit2,pattern_a,c2_stage,0,PASS,2,2,0,
a4_half_swap,pattern_a,c1_local,0,PASS,2,2,0,
a4_half_swap,pattern_a,c2_stage,0,PASS,2,2,0,
a5_one_special,pattern_a,c1_local,0,PASS,2,2,0,
a5_one_special,pattern_a,c2_stage,0,PASS,2,2,0,
a6_shuffled_order,pattern_a,c1_local,0,PASS,2,2,0,
a6_shuffled_order,pattern_a,c2_stage,0,PASS,2,2,0,
a7_partial_decode,pattern_a,c1_local,0,PASS,2,2,0,
a7_partial_decode,pattern_a,c2_stage,0,PASS,2,2,0,
a8_false_positive,pattern_a,c1_local,0,PASS,2,2,0,
a8_false_positive,pattern_a,c2_stage,0,PASS,2,2,0,
a9_three_pmux,pattern_a,c1_local,0,PASS,3,3,0,
a9_three_pmux,pattern_a,c2_stage,0,PASS,3,3,0,
b10_two_controls,pattern_b,c1_local,0,PASS,2,2,0,
b10_two_controls,pattern_b,c2_stage,0,PASS,2,2,0,
b11_repeated_bits,pattern_b,c1_local,0,PASS,1,1,0,
b11_repeated_bits,pattern_b,c2_stage,0,PASS,1,1,0,
b12_zero_selector,pattern_b,c1_local,0,PASS,1,1,0,
b12_zero_selector,pattern_b,c2_stage,0,PASS,1,1,0,
b13_combinational,pattern_b,c1_local,0,PASS,1,1,0,
b13_combinational,pattern_b,c2_stage,0,PASS,1,1,0,
b14_independent_pmux,pattern_b,c1_local,0,PASS,2,2,0,
b14_independent_pmux,pattern_b,c2_stage,0,PASS,2,2,0,
b1_basic,pattern_b,c1_local,0,PASS,1,1,0,
b1_basic,pattern_b,c2_stage,0,PASS,1,1,0,
b2_width12,pattern_b,c1_local,0,PASS,1,1,0,
b2_width12,pattern_b,c2_stage,0,PASS,1,1,0,
b3_partial_decode,pattern_b,c1_local,0,PASS,1,1,0,
b3_partial_decode,pattern_b,c2_stage,0,PASS,1,1,0,
b4_mixed_expression,pattern_b,c1_local,0,PASS,1,1,0,
b4_mixed_expression,pattern_b,c2_stage,0,PASS,1,1,0,
b5_no_control_data,pattern_b,c1_local,0,PASS,1,1,0,
b5_no_control_data,pattern_b,c2_stage,0,PASS,1,1,0,
b6_expression_only,pattern_b,c1_local,0,PASS,1,1,0,
b6_expression_only,pattern_b,c2_stage,0,PASS,1,1,0,
b7_control1_boundary,pattern_b,c1_local,0,PASS,1,1,0,
b7_control1_boundary,pattern_b,c2_stage,0,PASS,1,1,0,
b8_control8,pattern_b,c1_local,0,PASS,1,1,0,
b8_control8,pattern_b,c2_stage,0,PASS,1,1,0,
b9_shuffled_order,pattern_b,c1_local,0,PASS,1,1,0,
b9_shuffled_order,pattern_b,c2_stage,0,PASS,1,1,0,
c1_partial_bits,pattern_c,c1_local,0,PASS,1,1,0,
c1_partial_bits,pattern_c,c2_stage,0,PASS,1,1,0,
c2_full_expression,pattern_c,c1_local,0,PASS,1,1,0,
c2_full_expression,pattern_c,c2_stage,0,PASS,1,1,0,
c3_nested_expression,pattern_c,c1_local,0,PASS,1,1,0,
c3_nested_expression,pattern_c,c2_stage,0,PASS,1,1,0,
c4_reduction_ops,pattern_c,c1_local,0,PASS,1,1,0,
c4_reduction_ops,pattern_c,c2_stage,0,PASS,1,1,0,
c5_partial_decode,pattern_c,c1_local,0,PASS,1,1,0,
c5_partial_decode,pattern_c,c2_stage,0,PASS,1,1,0,
c6_combinational,pattern_c,c1_local,0,PASS,2,2,0,
c6_combinational,pattern_c,c2_stage,0,PASS,2,2,0,
c7_external_dependency,pattern_c,c1_local,0,PASS,1,1,0,
c7_external_dependency,pattern_c,c2_stage,0,PASS,1,1,0,
c8_two_controls,pattern_c,c1_local,0,PASS,2,2,0,
c8_two_controls,pattern_c,c2_stage,0,PASS,2,2,0,
d1_positive_single,pattern_d,c1_local,0,PASS,2,2,0,
