case,group,top,input_sha256,expect_ref,baseline_rc,baseline_total,baseline_comb,baseline_dff,baseline_pre_pmux,baseline_pre_s_widths,baseline_check_assert,optimized_rc,optimized_total,optimized_comb,optimized_dff,optimized_pre_pmux,optimized_post_pmux,optimized_pre_s_widths,optimized_check_assert,h2_candidate,h2_rebuilt,pairswap_rebuilt,branch_const_fold,branch_expr_fold,guard_aware
a1_width4_bit0,A,a1_width4_bit0,69e98ef32f661fd8ff389b5551985752ab8fd35e9495092086ba13b22e1d8bc4,,0,25,25,0,2,"4,4",True,0,16,16,0,2,2,"4,4",True,0,0,1,0,0,0
a2_width4_bit1,A,a2_width4_bit1,770ca226f594011eb4d5e5bee0e2591be4ed66fe858fbc5f0fa58d4be1c34d42,,0,25,25,0,2,"4,4",True,0,16,16,0,2,2,"4,4",True,0,0,1,0,0,0
a3_width8_bit2,A,a3_width8_bit2,273244fffd85466f00c7ebba09329dd501800d2f16b43e449943e96b7a77b8c8,,0,88,88,0,2,"8,8",True,0,65,65,0,2,2,"8,8",True,0,0,1,0,0,0
a4_half_swap,A,a4_half_swap,ac26fc31e38bb0a1c3188d6b5248885c815858fc3b748781db1568ed5af90993,,0,25,25,0,2,"4,4",True,0,25,25,0,2,2,"4,4",True,0,0,0,0,0,0
a5_one_special,A,a5_one_special,cf979eedfdcdbb6b32183383c47f9b1db246621a7c0ff4c1fda7e3f7e12ff905,,0,88,88,0,2,"8,8",True,0,88,88,0,2,2,"8,8",True,0,0,0,0,0,0
a6_shuffled_order,A,a6_shuffled_order,209584048bf9a06382148fcc6eed4e6f95f5cc157baeefe54c65b0e0f5a97f15,,0,88,88,0,2,"8,8",True,0,65,65,0,2,2,"8,8",True,0,0,1,0,0,0
a7_partial_decode,A,a7_partial_decode,8dbe7340538c6f0f52e65c6395d8f01b084e522f5c7fb0ff84127d4ad853a67d,,0,80,80,0,2,"4,4",True,0,80,80,0,2,2,"4,4",True,0,0,0,0,0,0
a8_false_positive,A,a8_false_positive,a31a74384e579ac4d4fb7d6008843e24534763b6b64c350c16ca76c61ea6095b,,0,49,49,0,2,"4,4",True,0,49,49,0,2,2,"4,4",True,0,0,0,0,0,0
a9_three_pmux,A,a9_three_pmux,be2394cc22aaa59073f2639debaf7c926a3028f2659f69bfd0ac6ee3f35d4e5a,,0,61,61,0,3,"4,4,4",True,0,44,44,0,3,3,"4,4,4",True,0,0,1,0,0,0
b10_two_controls,B,b10_two_controls,8fe7d2a989aaa7596af40e4eebac515d238a911c4830bd5cade96d74a9491aaa,,0,40,24,16,2,"2,2",True,0,36,20,16,2,2,"2,2",True,0,0,0,2,0,0
b11_repeated_bits,B,b11_repeated_bits,b1713b823ae1416722522cdb046a4be88ae4f00b77c051e296f7007435fe4cb0,,0,13,5,8,1,2,True,0,5,1,4,1,1,2,True,0,0,0,1,0,0
b12_zero_selector,B,b12_zero_selector,b305e743d2f73e115d81817ad73d171dcac1b8518239dae4370d4dedaf4da2c3,,0,19,11,8,1,2,True,0,18,10,8,1,1,2,True,0,0,0,1,0,0
b13_combinational,B,b13_combinational,0caeafe550d8f0413fbeee8cf9f00b9718bab21cb4570515f4695fb9cc77f19f,,0,14,14,0,1,3,True,0,14,14,0,1,1,3,True,0,0,0,1,0,0
b14_independent_pmux,B,b14_independent_pmux,1e4c501a3820bb07c71f57a1aba476625b00e0a39670d7644d2cd486d9dac4dc,,0,36,20,16,2,"2,2",True,0,36,20,16,2,2,"2,2",True,0,0,0,2,0,0
b1_basic,B,b1_basic,5088af844a4b7b0647ee6d6bb28c14dd8fb1def67e62d917784c80b99ec46855,,0,18,12,6,1,3,True,0,15,9,6,1,1,3,True,0,0,0,1,0,0
b2_width12,B,b2_width12,079f815b3cd49299d786bf5aad4f86e919e93b43fd5e05bf1b8419711bc51d8c,,0,30,18,12,1,3,True,0,30,18,12,1,1,3,True,0,0,0,1,0,0
b3_partial_decode,B,b3_partial_decode,8693f892b458c87f0a4d19f8c3d09003377051e8f57509cca8a55d48e5178876,,0,20,12,8,1,2,True,0,18,10,8,1,1,2,True,0,0,0,1,0,0
b4_mixed_expression,B,b4_mixed_expression,b9a2fab2e638bb7ed29af369fb11603fe40a8d18496f13b62f0c1e83f9407138,,0,24,14,10,1,2,True,0,18,10,8,1,1,2,True,0,0,0,1,1,0
b5_no_control_data,B,b5_no_control_data,d375bb504f8663c932be7e5d326a145140ca7e0219db43406ae99719a7f117b5,,0,34,26,8,1,3,True,0,34,26,8,1,1,3,True,0,0,0,0,0,0
