case,chain,partition,status_new,status_r3,changed,base_fail_len,induct_success,partition_il_init_attrs
test1,c4a_rtl_opt_mapped,test1.i0,UNKNOWN,UNKNOWN,,,False,12
test1,c4a_rtl_opt_mapped,test1.i1,UNKNOWN,UNKNOWN,,,False,12
test1,c4a_rtl_opt_mapped,test1.i2,UNKNOWN,UNKNOWN,,,False,12
test1,c4a_rtl_opt_mapped,test1.i3,UNKNOWN,UNKNOWN,,,False,12
test1,c4a_rtl_opt_mapped,test1.i4,UNKNOWN,UNKNOWN,,,False,12
test1,c4a_rtl_opt_mapped,test1.i5,UNKNOWN,UNKNOWN,,,False,12
test1,c4a_rtl_opt_mapped,test1.i6,UNKNOWN,UNKNOWN,,,False,12
test1,c4a_rtl_opt_mapped,test1.i7,UNKNOWN,UNKNOWN,,,False,12
test1,c4a_rtl_opt_mapped,test1.inter0007_out,FAIL,FAIL,,2,False,2
test1,c4a_rtl_opt_mapped,test1.inter0008_out.0,UNKNOWN,UNKNOWN,,,False,1
test1,c4a_rtl_opt_mapped,test1.inter0008_out.1,UNKNOWN,UNKNOWN,,,False,1
test1,c4a_rtl_opt_mapped,test1.inter0008_out.10,UNKNOWN,UNKNOWN,,,False,1
test1,c4a_rtl_opt_mapped,test1.inter0008_out.11,UNKNOWN,UNKNOWN,,,False,1
test1,c4a_rtl_opt_mapped,test1.inter0008_out.2,UNKNOWN,UNKNOWN,,,False,1
test1,c4a_rtl_opt_mapped,test1.inter0008_out.3,UNKNOWN,UNKNOWN,,,False,1
test1,c4a_rtl_opt_mapped,test1.inter0008_out.4,UNKNOWN,UNKNOWN,,,False,1
test1,c4a_rtl_opt_mapped,test1.inter0008_out.5,UNKNOWN,UNKNOWN,,,False,1
test1,c4a_rtl_opt_mapped,test1.inter0008_out.6,UNKNOWN,UNKNOWN,,,False,1
test1,c4a_rtl_opt_mapped,test1.inter0008_out.7,UNKNOWN,UNKNOWN,,,False,1
