case,partition,status,wall_s,base_proven_max,induct_failures,solver_timeout
test1,test1.i0,UNKNOWN,13.28,40,40,False
test1,test1.i1,UNKNOWN,12.97,40,40,False
test1,test1.i2,UNKNOWN,13.01,40,40,False
test1,test1.i3,UNKNOWN,13.23,40,40,False
test1,test1.i4,UNKNOWN,13.28,40,40,False
test1,test1.i5,UNKNOWN,10.92,40,40,False
test1,test1.i6,UNKNOWN,10.87,40,40,False
test1,test1.i7,UNKNOWN,11.18,40,40,False
test1,test1.inter0008_out.0,UNKNOWN,20.64,40,40,False
test1,test1.inter0008_out.1,UNKNOWN,21.83,40,40,False
test1,test1.inter0008_out.10,UNKNOWN,19.83,40,40,False
test1,test1.inter0008_out.11,UNKNOWN,19.88,40,40,False
test1,test1.inter0008_out.2,UNKNOWN,21.05,40,40,False
test1,test1.inter0008_out.3,UNKNOWN,21.88,40,40,False
test1,test1.inter0008_out.4,UNKNOWN,20.69,40,40,False
test1,test1.inter0008_out.5,UNKNOWN,22.85,40,40,False
test1,test1.inter0008_out.6,UNKNOWN,22.83,40,40,False
test1,test1.inter0008_out.7,UNKNOWN,22.18,40,40,False
test1,test1.inter0008_out.8,UNKNOWN,19.83,40,40,False
test1,test1.inter0008_out.9,UNKNOWN,19.83,40,40,False
test1,test1.inter0009_out.0,UNKNOWN,19.12,40,40,False
test1,test1.inter0009_out.1,UNKNOWN,20.24,40,40,False
test1,test1.inter0009_out.10,UNKNOWN,24.01,40,40,False
test1,test1.inter0009_out.11,UNKNOWN,22.25,40,40,False
test1,test1.inter0009_out.2,UNKNOWN,18.76,40,40,False
test1,test1.inter0009_out.3,UNKNOWN,19.06,40,40,False
test1,test1.inter0009_out.4,UNKNOWN,24.29,40,40,False
test1,test1.inter0009_out.5,UNKNOWN,24.0,40,40,False
test1,test1.inter0009_out.6,UNKNOWN,23.63,40,40,False
test1,test1.inter0009_out.7,UNKNOWN,23.22,40,40,False
test1,test1.inter0009_out.8,UNKNOWN,23.69,40,40,False
test1,test1.inter0009_out.9,UNKNOWN,23.91,40,40,False
test1,test1.q0,UNKNOWN,12.9,40,40,False
test1,test1.q1,UNKNOWN,12.9,40,40,False
test1,test1.q2,UNKNOWN,12.64,40,40,False
test1,test1.q3,UNKNOWN,12.71,40,40,False
test1,test1.q4,UNKNOWN,12.9,40,40,False
test1,test1.q5,UNKNOWN,13.79,40,40,False
test1,test1.q6,UNKNOWN,12.91,40,40,False
test1,test1.q7,UNKNOWN,12.26,40,40,False
test3,test3.gpioout,PASS,0.34,6,5,False
test3,test3.sr,UNKNOWN,3.27,40,40,False
test4,test4.dataout,UNKNOWN,72.46,35,34,True
